Text	Stress	Boundary	Pitch	Token
I-	X		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
pse	-		B3	B3
_	_		G3	G3
fe-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
cit	-		B3	B3
_	_		A3	A3
_	_		A3	A3
nos,	0		G3	G3
		Maior		Maior
et	~		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
non	0		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
i-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
psi	-		A3	A3
_	_		G3	G3
nos:	0		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		C4	C4
_	_		A3	A3
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
_	-		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
nos	0		F3	F3
au-	X		A3	A3
_	_		C4	C4
tem	-		B3	B3
_	_		G3	G3
_	_		A3	A3
po-	X		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
pu-	-		G3	G3
lus	+		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
e-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
jus,	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
et	~		G3	G3
_	_		A3	A3
o-	X		G3	G3
_	_		A3	A3
ves	-		G3	G3
pa-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
scu-	-		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
ae	+		F3	F3
_	_		A3	A3
_	_		C4	C4
e-	X		C4	C4
jus.	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Document		Document
