Text	Stress	Boundary	Pitch	Token
Spe-	-		F3	F3
ra-	X		G3	G3
vit	-		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		D3	D3
in	~		D3	D3
_	_		G3	G3
Do-	X		G3	G3
_	_		E3	E3
mi-	-		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		D3	D3
no,	+		D3	D3
		Maior		Maior
e-	-		F3	F3
_	_		E3	E3
ri-	X		F3	F3
_	_		G3	G3
pi-	-		F3	F3
_	_		E3	E3
_	_		C3	C3
at	+		D3	D3
e-	X		E3	E3
_	_		D3	D3
_	_		E3	E3
um:	-		D3	D3
_	_		C3	C3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
sal-	X		C3	C3
vum	-		C3	C3
fa-	X		E3	E3
_	_		F3	F3
ci-	-		D3	D3
at	+		D3	D3
e-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
um,	-		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
quo-	X		G3	G3
ni-	-		F3	F3
_	_		E3	E3
_	_		C3	C3
am	+		D3	D3
vult	0		F3	F3
_	_		E3	E3
e-	X		F3	F3
_	_		E3	E3
_	_		D3	D3
um.	-		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		A2	A2
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
