Text	Stress	Boundary	Pitch	Token
Mon-	X		D3	D3
_	_		G3	G3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		D3	D3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
tes	-		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
in	~		G3	G3
cir-	-		G3	G3
cu-	X		G3	G3
_	_		C4	C4
i-	-		C4	C4
tu	+		C4	C4
e-	X		B3	B3
_	_		D4	D4
_	_		E4	E4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
jus:	-		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
et	~		A3	A3
_	_		B3	B3
_	_		C4	C4
Do-	X		C4	C4
mi-	-		C4	C4
_	_		C4	C4
_	_		C4	C4
nus	+		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		E4	E4
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
in	~		G3	G3
_	_		A3	A3
cir-	-		F3	F3
_	_		G3	G3
cu-	X		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
i-	-		C4	C4
tu	+		G3	G3
		Virgula		Virgula
po-	X		G3	G3
_	_		A3	A3
pu-	-		A3	A3
li	+		A3	A3
su-	X		A3	A3
i,	-		A3	A3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
ex	~		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
hoc	0		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
nunc	0		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
et	~		A3	A3
us-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
que	-		G3	G3
_	_		A3	A3
in	~		F3	F3
sae-	X		F3	F3
_	_		A3	A3
_	_		C4	C4
cu-	-		C4	C4
lum.	+		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Document		Document
