Text	Stress	Boundary	Pitch	Token
Et	~		G3	G3
_	_		A3	A3
_	_		C4	C4
sic-	X		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
ut	-		A3	A3
o-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
cu-	-		G3	G3
_	_		F3	F3
li	+		G3	G3
_	_		A3	A3
_	_		G3	G3
an-	-		A3	A3
_	_		B3	B3
cil-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
lae	-		A3	A3
_	_		G3	G3
		Maior		Maior
in	~		A3	A3
ma-	X		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
ni-	-		F3	F3
bus	+		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
do-	X		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
mi-	-		F3	F3
_	_		A3	A3
_	_		C4	C4
nae	+		C4	C4
su-	X		C4	C4
ae:	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
