Text	Stress	Boundary	Pitch	Token
Qui	0		G3	G3
re-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
gis	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
Is-	X		A3	A3
_	_		G3	G3
_	_		G3	G3
ra-	-		F3	F3
_	_		G3	G3
el,	+		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
in-	-		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
ten-	X		F3	F3
_	_		A3	A3
_	_		C4	C4
de:	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
qui	0		G3	G3
_	_		A3	A3
de-	-		F3	F3
_	_		G3	G3
du-	X		G3	G3
cis	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
		Minima		Minima
vel-	X		G3	G3
_	_		A3	A3
ut	-		G3	G3
o-	X		F3	F3
_	_		A3	A3
_	_		C4	C4
vem	-		C4	C4
_	_		D4	D4
Jo-	X		D4	D4
_	_		B3	B3
_	_		C4	C4
seph.	-		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Finalis		Finalis
