0	6
1	6
2	2
3	2
4	2
5	8
6	2
7	2
8	8
9	8
10	4
11	8
12	10
13	4
14	2
15	6
16	18
17	2
18	4
19	4
20	6
21	16
22	14
23	2
24	8
25	8
26	6
27	2
28	2
29	2
30	4
31	2
32	4
33	2
34	2
35	8
36	24
37	2
38	2
39	6
40	14
41	16
42	10
43	6
44	4
45	12
46	28
47	2
48	4
49	8
50	2
51	2
52	18
53	2
54	2
55	4
56	14
57	20
58	12
59	4
60	2
61	10
62	6
63	16
64	2
65	4
66	4
67	2
68	10
69	2
70	6
71	6
72	4
73	4
74	16
75	2
76	8
77	14
78	8
79	8
80	8
81	10
82	2
83	6
84	12
85	4
86	6
87	2
88	14
89	6
90	6
91	6
92	4
93	6
94	2
95	4
96	4
97	4
98	2
99	2
100	6
101	4
102	6
103	2
104	14
105	4
106	4
107	6
108	2
109	8
110	10
111	10
112	4
113	12
114	8
115	6
116	4
117	8
118	2
119	4
120	8
121	6
122	4
123	10
124	18
125	4
126	2
127	2
128	2
129	12
130	2
131	18
132	4
133	12
134	4
135	8
136	10
137	2
138	2
139	8
140	4
141	2
142	6
143	4
144	2
145	4
146	14
147	4
148	2
149	8
150	4
151	2
152	4
153	2
154	2
155	4
156	4
157	4
158	8
159	10
160	10
161	6
162	4
163	4
164	4
165	2
166	12
167	2
168	2
169	2
170	4
171	2
172	10
173	10
174	10
175	24
176	4
177	2
178	2
179	6
180	2
181	10
182	2
183	4
184	4
185	18
186	6
187	6
188	2
189	4
190	8
191	12
192	6
193	10
194	12
195	2
196	4
197	8
198	4
199	8
