Text	Stress	Boundary	Pitch	Token
Ec-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
ce	-		C4	C4
sic-	X		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
ut	-		A3	A3
o-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
cu-	-		G3	G3
_	_		F3	F3
li	+		G3	G3
_	_		A3	A3
_	_		G3	G3
ser-	-		A3	A3
_	_		B3	B3
vo-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
rum	-		A3	A3
_	_		G3	G3
		Maior		Maior
in	~		A3	A3
ma-	X		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
ni-	-		F3	F3
bus	+		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
do-	x		G3	G3
_	_		A3	A3
mi-	-		G3	G3
no-	X		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
rum	-		F3	F3
_	_		A3	A3
_	_		C4	C4
su-	-		C4	C4
o-	X		C4	C4
rum:	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
