Text	Stress	Boundary	Pitch	Token
Qui	0		G3	G3
se-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
des	-		C4	C4
su-	X		B3	B3
_	_		C4	C4
per	-		C4	C4
Che-	X		C4	C4
ru-	-		C4	C4
bim,	+		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Maxima		Maxima
ap-	-		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
pa-	X		G3	G3
_	_		A3	A3
re	-		G3	G3
_	_		F3	F3
co-	o		F3	F3
_	_		A3	A3
_	_		C4	C4
ram	-		C4	C4
E-	X		C4	C4
phra-	-		C4	C4
im,	+		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Maxima		Maxima
Ben-	X		G3	G3
ja-	-		A3	A3
_	_		C4	C4
_	_		A3	A3
min,	+		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
et	~		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
Ma-	X		F3	F3
_	_		A3	A3
_	_		C4	C4
nas-	-		C4	C4
se.	+		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
