Text	Stress	Boundary	Pitch	Token
De-	X		D3	D3
_	_		F3	F3
_	_		E3	E3
us	-		F3	F3
_	_		G3	G3
me-	X		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		D3	D3
us	-		D3	D3
		Maior		Maior
cla-	-		F3	F3
ma-	X		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
bo	-		E3	E3
_	_		D3	D3
per	~		F3	F3
_	_		E3	E3
di-	X		F3	F3
_	_		D3	D3
_	_		E3	E3
em,	-		D3	D3
		Maior		Maior
nec	0		E3	E3
ex-	-		G3	G3
au-	X		F3	F3
_	_		F3	F3
_	_		E3	E3
di-	-		D3	D3
_	_		C3	C3
es:	+		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
in	~		C3	C3
no-	X		E3	E3
_	_		F3	F3
cte,	-		D3	D3
		Minima		Minima
et	~		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
non	0		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Virgula		Virgula
ad	~		C3	C3
in-	-		D3	D3
_	_		F3	F3
si-	x		F3	F3
pi-	-		F3	F3
en-	X		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
ti-	-		D3	D3
am	+		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
mi-	X		F3	F3
_	_		E3	E3
_	_		D3	D3
hi.	-		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
