Text	Stress	Boundary	Pitch	Token
Qui-	X		G3	G3
a	-		G3	G3
_	_		D3	D3
a-	o		G3	G3
pud	-		A3	A3
_	_		B3	B3
te	0		B3	B3
_	_		B3	B3
_	_		C4	C4
		Minima		Minima
pro-	-		G3	G3
_	_		F3	F3
pi-	x		G3	G3
ti-	-		A3	A3
_	_		B3	B3
_	_		C4	C4
a-	X		C4	C4
_	_		D4	D4
ti-	-		D4	D4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
o	+		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
est,	0		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
et	~		F3	F3
prop-	X		A3	A3
_	_		C4	C4
ter	-		B3	B3
_	_		G3	G3
_	_		A3	A3
le-	X		G3	G3
_	_		F3	F3
_	_		G3	G3
gem	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
tu-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
am	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
sus-	-		G3	G3
ti-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
nu-	-		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
i	+		F3	F3
_	_		A3	A3
_	_		C4	C4
te,	0		C4	C4
		Minima		Minima
Do-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
mi-	-		G3	G3
ne.	+		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Document		Document
