Text	Stress	Boundary	Pitch	Token
Li-	X		F3	F3
_	_		G3	G3
_	_		A3	A3
be-	-		G3	G3
_	_		A3	A3
ra	+		G3	G3
_	_		F3	F3
me	0		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		D3	D3
		Maior		Maior
de	~		F3	F3
o-	X		F3	F3
_	_		G3	G3
_	_		A3	A3
re	-		A3	A3
_	_		G3	G3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
le-	-		D3	D3
_	_		G3	G3
o-	X		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
nis:	-		D3	D3
_	_		C3	C3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
et	~		C3	C3
a	~		D3	D3
cor-	X		F3	F3
_	_		F3	F3
ni-	-		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
bus	+		E3	E3
_	_		D3	D3
		Minima		Minima
u-	x		D3	D3
_	_		E3	E3
ni-	-		D3	D3
cor-	x		D3	D3
_	_		E3	E3
nu-	-		D3	D3
o-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
rum	-		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
hu-	-		F3	F3
_	_		G3	G3
mi-	x		F3	F3
_	_		F3	F3
_	_		E3	E3
li-	-		D3	D3
_	_		C3	C3
_	_		D3	D3
ta-	X		C3	C3
_	_		F3	F3
tem	-		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
me-	X		D3	D3
am.	-		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
