Text	Stress	Boundary	Pitch	Token
Tu	0		C3	C3
_	_		D3	D3
au-	X		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
tem	-		E3	E3
_	_		D3	D3
		Minima		Minima
in	~		F3	F3
san-	X		F3	F3
_	_		F3	F3
_	_		E3	E3
cto	-		G3	G3
ha-	X		F3	F3
_	_		F3	F3
_	_		E3	E3
bi-	-		D3	D3
_	_		C3	C3
tas,	+		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
laus	0		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		C3	C3
Is-	X		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
ra-	-		F3	F3
el.	+		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
