Text	Stress	Boundary	Pitch	Token
Pro-	-		G3	G3
_	_		D3	D3
lon-	x		G3	G3
ga-	-		A3	A3
_	_		B3	B3
_	_		A3	A3
ve-	X		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
runt	-		A3	A3
_	_		G3	G3
		Maior		Maior
in-	-		G3	G3
i-	x		G3	G3
_	_		A3	A3
_	_		G3	G3
qui-	-		F3	F3
_	_		G3	G3
ta-	X		C4	C4
_	_		C4	C4
tem	-		A3	A3
_	_		C4	C4
_	_		B3	B3
si-	X		C4	C4
bi:	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
Do-	X		F3	F3
mi-	-		F3	F3
nus	+		A3	A3
ju-	X		C4	C4
stus	-		B3	B3
_	_		G3	G3
_	_		A3	A3
		Minima		Minima
con-	-		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
ci-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
det	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
cer-	-		G3	G3
vi-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
ces	-		G3	G3
_	_		A3	A3
_	_		F3	F3
pec-	x		F3	F3
_	_		A3	A3
_	_		C4	C4
ca-	-		C4	C4
to-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
rum.	-		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Document		Document
