Text	Stress	Boundary	Pitch	Token
Ad	~		F3	F3
te	0		G3	G3
cla-	x		F3	F3
_	_		G3	G3
_	_		F3	F3
ma-	-		D3	D3
ve-	X		D3	D3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		A3	A3
_	_		G3	G3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
runt,	-		E3	E3
_	_		D3	D3
		Maior		Maior
et	~		F3	F3
sal-	X		F3	F3
_	_		F3	F3
_	_		E3	E3
vi	-		G3	G3
fa-	X		F3	F3
_	_		F3	F3
_	_		E3	E3
cti	-		D3	D3
_	_		C3	C3
sunt.	0		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
In	~		C3	C3
te	0		E3	E3
_	_		F3	F3
spe-	x		D3	D3
_	_		E3	E3
ra-	-		D3	D3
ve-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
runt,	-		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
et	~		F3	F3
_	_		G3	G3
non	0		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		C3	C3
sunt	0		D3	D3
_	_		E3	E3
_	_		D3	D3
con-	-		F3	F3
_	_		E3	E3
fu-	X		F3	F3
_	_		E3	E3
_	_		D3	D3
si.	-		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		A2	A2
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
