Text	Stress	Boundary	Pitch	Token
E-	X		C3	C3
go	-		D3	D3
au-	X		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
tem	-		E3	E3
_	_		D3	D3
		Minima		Minima
sum	0		D3	D3
_	_		G3	G3
ver-	X		G3	G3
mis	-		G3	G3
_	_		A3	A3
et	~		D3	D3
non	0		G3	G3
ho-	X		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
mo:	-		D3	D3
_	_		C3	C3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
op-	-		C3	C3
pro-	X		E3	E3
_	_		F3	F3
bri-	-		D3	D3
um	+		D3	D3
ho-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
mi-	-		F3	F3
_	_		G3	G3
num,	+		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
et	~		G3	G3
ab-	-		C3	C3
je-	X		D3	D3
cti-	-		D3	D3
o	+		F3	F3
_	_		E3	E3
ple-	X		F3	F3
_	_		E3	E3
_	_		D3	D3
bis.	-		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		A2	A2
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
