Text	Stress	Boundary	Pitch	Token
In	~		C3	C3
_	_		D3	D3
_	_		F3	F3
te	0		F3	F3
spe-	x		E3	E3
_	_		F3	F3
ra-	-		D3	D3
ve-	X		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
runt	-		D3	D3
_	_		E3	E3
_	_		F3	F3
		Minima		Minima
pa-	X		F3	F3
tres	-		D3	D3
no-	X		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
stri:	-		D3	D3
_	_		C3	C3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
spe-	x		E3	E3
_	_		F3	F3
ra-	-		D3	D3
ve-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
runt,	-		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
et	~		F3	F3
_	_		G3	G3
li-	x		F3	F3
_	_		F3	F3
_	_		E3	E3
be-	-		D3	D3
_	_		C3	C3
_	_		D3	D3
ra-	X		C3	C3
_	_		F3	F3
sti	-		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
e-	X		D3	D3
os.	-		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
