Text	Stress	Boundary	Pitch	Token
Et-	-		G3	G3
e-	X		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
nim	-		A3	A3
_	_		G3	G3
		Maior		Maior
non	0		G3	G3
po-	x		G3	G3
_	_		A3	A3
_	_		G3	G3
tu-	-		F3	F3
_	_		G3	G3
e-	X		C4	C4
_	_		C4	C4
runt	-		A3	A3
_	_		C4	C4
_	_		B3	B3
mi-	X		C4	C4
hi:	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
su-	X		G3	G3
pra	-		G3	G3
dor-	X		A3	A3
_	_		B3	B3
sum	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
me-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
um	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
fa-	-		G3	G3
bri-	x		G3	G3
ca-	-		G3	G3
ve-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
runt	-		G3	G3
_	_		A3	A3
_	_		F3	F3
pec-	x		F3	F3
_	_		A3	A3
_	_		C4	C4
ca-	-		C4	C4
to-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
res.	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
