Text	Stress	Boundary	Pitch	Token
Po-	X		C3	C3
_	_		D3	D3
pu-	-		D3	D3
_	_		C3	C3
lo	+		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
		Minima		Minima
qui	0		C3	C3
na-	-		D3	D3
_	_		F3	F3
sce-	X		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		G3	G3
tur,	-		F3	F3
		Maior		Maior
quem	0		F3	F3
_	_		G3	G3
fe-	X		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		C3	C3
cit	-		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
		Minima		Minima
Do-	X		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
mi-	-		D3	D3
nus.	+		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		E3	E3
_	_		F3	F3
		Minima		Minima
_	-		E3	E3
_	_		F3	F3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Document		Document
