Text	Stress	Boundary	Pitch	Token
De-	X		D3	D3
us,	-		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		A2	A2
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
		Minima		Minima
_	-		C3	C3
_	_		D3	D3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
		Maior		Maior
De-	X		C3	C3
us	-		D3	D3
_	_		C3	C3
me-	X		C3	C3
_	_		F3	F3
us,	-		F3	F3
		Minima		Minima
re-	X		F3	F3
spi-	-		F3	F3
ce	+		F3	F3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
in	~		D3	D3
_	_		C3	C3
me:	0		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
qua-	X		F3	F3
_	_		G3	G3
re	-		F3	F3
_	_		G3	G3
me	0		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
de-	-		C3	C3
_	_		D3	D3
re-	x		C3	C3
_	_		F3	F3
li-	-		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		F3	F3
qui-	X		F3	F3
_	_		E3	E3
_	_		D3	D3
sti?	-		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
