Text	Stress	Boundary	Pitch	Token
Ip-	X		F3	F3
si	-		D3	D3
ve-	X		F3	F3
ro	-		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
		Minima		Minima
con-	x		D3	D3
si-	-		D3	D3
de-	x		D3	D3
ra-	-		D3	D3
ve-	X		F3	F3
runt,	-		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
		Minima		Minima
et	~		D3	D3
con-	x		D3	D3
spe-	-		G3	G3
xe-	X		F3	F3
_	_		F3	F3
_	_		E3	E3
runt	-		D3	D3
_	_		C3	C3
me:	0		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
di-	x		C3	C3
vi-	-		C3	C3
se-	X		E3	E3
_	_		F3	F3
runt	-		D3	D3
si-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
bi	-		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
ve-	x		G3	G3
sti-	-		C3	C3
men-	X		D3	D3
ta	-		F3	F3
me-	X		F3	F3
_	_		E3	E3
_	_		D3	D3
a	-		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Maxima		Maxima
et	~		E3	E3
su-	o		C3	C3
per	-		D3	D3
_	_		F3	F3
ve-	X		F3	F3
stem	-		F3	F3
me-	X		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		D3	D3
am	-		D3	D3
		Maior		Maior
mi-	-		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		C3	C3
se-	X		D3	D3
runt	-		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
sor-	X		D3	D3
tem.	-		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		C3	C3
_	_		A2	A2
_	_		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
